rolecode,leadercode,professionaltitle,militaryrank,culturaltitle,religioustitle,fullbirthname,popularname,nameone,nametwo,nomdeguerrekunya,alsoknownasaka,stname,confdesc,groupname,altname,revmodcode,gender,yearofbirth,yearofdeath,dead,placeofbirth,leadershipage,dynamicage,entrymethod,powersharing,education,areaofstudy,cat_areaofstudy1,cat_areaofstudy2,educusuk,educwest,married,marriageage,children,religion,family,affiliation,physical,mental,occupation,military,nsmilitary,combat,govpost,exile,studyab,studyab_yr_total,studyab_level,studyab_countries,milab,workab,expabroad,prison,assassin,deathcause,languages,english,polyglot,status,gscholar,coder,year,duration,observation,ldrnum,ldrstwar_month,ldrstwar_year,ldrendwar_month,ldrendwar_year,conflictid,dyadid,actorid,incompatibility,intensitylevel,terrcont,prevactive,rebstrength,strengthcent,k_a,km_a,t_a,tm_a,diaspora,finance,nagtheo,nag_support,islamist,stdcinc,xpolity,rgdppc,ccode,africa,asia,europe,mena,americas
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,48,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1980,1,1,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,955,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,49,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1981,2,2,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,1057,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,50,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1982,3,3,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,1153,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,51,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1983,4,4,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,1194,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,52,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1984,5,5,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,1172,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,53,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1985,6,6,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,1133,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,54,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1986,7,7,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,1215,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,55,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1987,8,8,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,1005,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,56,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1988,9,9,1,1,1980,12,1989,137,732,1138,1,2,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-3,908,700,0,1,0,0,0
2,401,,,,Pir Sayyed,Ahmad Gailani,Ahmad Gailani,Ahmad,Gailani,,,Afghanistan,Afganistan vs Mahaz-i Milli-yi Islami-yi Afghanistan,Mahaz-i Milli-yi Islami-yi Afghanistan,,,Male,1932,2017,1,"Surkh-Rod District, Eastern Nangarhar Province, Afghanistan",47,57,Founded/Co-founded,0,Obtained Bachelor's,Theology,Religion,,0,0,1,20,1,Islam,1,1,0,0,Business/entrepeneurship,0,0,0,0,1,0,0,None,,0,0,1,0,0,Disease/natural causes,"Pashto, English, Dari",1,0,Complete,1330,11,1989,10,10,1,1,1980,12,1989,137,732,1138,1,1,1,0,1,2,0,0,0,0,0,1,0,1,1,0,-4,886,700,0,1,0,0,0
