leadercode,rolecode,professionaltitle,militaryrank,culturaltitle,religioustitle,fullbirthname,popularname,nameone,nametwo,nomdeguerrekunya,alsoknownasaka,stname,confdesc,groupname,altname,revmodcode,gender,yearofbirth,yearofdeath,dead,placeofbirth,leadershipage,dynamicage,entrymethod,powersharing,education,areaofstudy,cat_areaofstudy1,cat_areaofstudy2,educusuk,educwest,married,marriageage,children,religion,family,affiliation,physical,mental,occupation,military,nsmilitary,combat,govpost,exile,studyab,studyab_yr_total,studyab_level,studyab_countries,milab,workab,expabroad,prison,assassin,deathcause,languages,english,polyglot,status,gscholar,year,duration,observation,ldrnum,ldrstwar_month,ldrstwar_year,ldrendwar_month,ldrendwar_year,conflictid,dyadid,actorid,incompatibility,intensitylevel,terrcont,prevactive,rebstrength,strengthcent,k_a,km_a,t_a,tm_a,diaspora,finance,nagtheo,nag_support,islamist,stdcinc,xpolity,rgdppc,ccode,africa,asia,europe,mena,americas,last_dynamicage
1,252.0,none,none,Sheik,Sayyid,Abbas al-Musawi,Abbas al-Musawi,Abbas,al-Musawi,none,none,Israel,Israel vs Hezbollah,Hezbollah/Islamic Jihad Organization/Islamic Resistance Front/Ansar Allah,Hezbollah,23.0,Male,1952.0,1992.0,1.0,"Al-Nabi Shayth, Lebanon",30.0,39.0,Appointed/Designated,0.0,Obtained Bachelor's,Islam,Religion,none,0.0,0.0,1.0,NaN,1.0,Islam,NaN,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Bachelor's,Iraq,0.0,0.0,1.0,0.0,0.0,Assassinated by government,Arabic,0.0,0.0,Complete,794,1991.0-1992.0,5.0,1017,2.0,5.0,1991.0,2.0,1992.0,251.0,643.0,1209.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,1,0.0,6.0,20413.0,666.0,0.0,0.0,0.0,1.0,0.0,40.0
2,72.0,none,none,none,none,Abbas Koty Yacoub,Abbas Koty,Abbas,Koty,none,none,Chad,Chad vs CNR,National Council of Chadian Recovery,CNR,NaN,Male,1952.0,1993.0,1.0,"Canton Dourene, Prefecture of Iriba, Wadi Fira Region, Chad",40.0,40.0,Founded/Co-founded,0.0,Obtained Bachelor's,Military Studies (Officer Training),Military,none,0.0,0.0,0.0,NaN,0.0,Islam,NaN,1.0,0.0,0.0,Activist,1.0,1.0,1.0,1.0,1.0,0.0,0.0,none,none,0.0,0.0,1.0,0.0,0.0,Assassinated by government,"Zaghawa, French",0.0,0.0,Complete,30,1992.0-1993.0,3.0,296,1.0,12.0,1992.0,10.0,1993.0,91.0,22.0,1293.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-2.0,990.0,483.0,1.0,0.0,0.0,0.0,0.0,41.0
4,439.0,none,none,none,none,Abdallah Yahya,Abdallah Yahya,Abdallah,Yahya,none,none,Sudan,Sudan vs SLM/A-Unity,Sudan Liberation Force Alliance,none,NaN,Male,1923.0,NaN,NaN,"Amarai, North Darfur, Sudan",NaN,84.0,none,0.0,Finished secondary,none,none,none,NaN,NaN,1.0,20.0,1.0,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,1.0,NaN,Secondary,Tanzania,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,4420,2007.0-2008.0,3.0,1685,1.0,1.0,2007.0,12.0,2008.0,113.0,648.0,1319.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1.0,0,0.0,-2.0,1988.0,625.0,0.0,0.0,0.0,1.0,0.0,85.0
5,249.0,Dr.,none,none,none,Abdel Aziz Ali Abdul Majid al-Rantissi,Abdel Aziz al-Rantissi,Abdel Aziz,al-Rantisi,Asad Filastin,none,Israel,Israel vs Hamas,Harakat al-Muqawama al-Islamiyya (HAMAS),Islamic Resistance Movement (Hamas),531.0,Male,1947.0,2004.0,1.0,"Yibna, Mandatory Palestine",57.0,57.0,Founded/Co-founded,1.0,Obtained Doctorate,Medicine,Medicine,none,0.0,0.0,1.0,26.0,1.0,Islam,0.0,1.0,0.0,0.0,Medicine,0.0,1.0,0.0,0.0,1.0,1.0,5.0,Doctorate,Egypt,0.0,0.0,2.0,1.0,0.0,Assassinated by government,"Arabic, English",1.0,0.0,Complete,180,2004.0-2004.0,4.0,1005,2.0,3.0,2004.0,4.0,2004.0,37.0,381.0,1051.0,0.0,1.0,0.0,1.0,1.0,2.0,25.0,25.0,10.0,10.0,0.0,0.0,1.0,1.0,1,0.0,6.0,23810.0,666.0,0.0,0.0,0.0,1.0,0.0,57.0
6,26.0,none,none,none,none,Abdelkader Chebouti,Abdelkader Chebouti,Abdelkader,Chbouti,none,none,Algeria,Algeria vs MIA/FIS/AIS,Islamic State Movement,none,NaN,Male,NaN,NaN,NaN,"Larbaa, Algeria",NaN,NaN,Appointed/Designated,1.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,Islam,NaN,NaN,1.0,NaN,Military,0.0,1.0,1.0,0.0,0.0,NaN,NaN,none,none,NaN,NaN,NaN,1.0,NaN,none,none,NaN,NaN,Incomplete,74,1992.0-1995.0,10.0,119,1.0,3.0,1992.0,3.0,1995.0,191.0,1.0,1389.0,1.0,2.0,0.0,0.0,2.0,2.0,16.0,12.0,14.0,3.0,0.0,0.0,1.0,0.0,1,0.0,-3.0,3669.0,615.0,0.0,0.0,0.0,1.0,0.0,NaN
7,161.0,none,none,none,none,Abdi Nassir Sheikh Aden,Abdi Nassir Sheikh Aden,Abdi Nasser,Aden,none,none,Ethiopia,Ethiopia vs WSLF,Western Somali Liberation Front,none,NaN,Male,NaN,NaN,NaN,NaN,NaN,NaN,none,0.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,88,1983.0-1983.0,8.0,636,3.0,7.0,1983.0,12.0,1983.0,133.0,522.0,1345.0,0.0,1.0,0.0,0.0,2.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0,0.0,-3.0,830.0,530.0,1.0,0.0,0.0,0.0,0.0,NaN
8,408.0,none,none,none,none,Abdilqadir Kosar Abdi,Abdilqadir Kosar Abdi,Abdilqadir,Abdi,none,none,Somalia,Somalia vs SNM,Somali National Movement,none,NaN,Male,NaN,NaN,1.0,NaN,NaN,NaN,Elected,NaN,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,Assassinated by government,none,NaN,NaN,Incomplete,0,1983.0-1984.0,3.0,1544,2.0,11.0,1983.0,8.0,1984.0,141.0,207.0,1350.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,-3.0,1262.0,520.0,1.0,0.0,0.0,0.0,0.0,NaN
9,230.0,none,none,none,none,Abdul Rahman Ghassemlou,Qasemlu,Abdul Rahman,Ghassemlou,Qasemlu,none,Iran,Iran vs KDPI,Kurdistan Democratic Party of Iran (KDPI),none,NaN,Male,1930.0,1989.0,1.0,"Village of Qasemlu, at the Outskirts of Orumieh, West Azerbaijan Province, Iran",43.0,49.0,Elected,0.0,Obtained Doctorate,Economics and Political Science,Political Science,Economics,0.0,0.0,1.0,22.0,1.0,NaN,1.0,1.0,0.0,0.0,Education,0.0,1.0,0.0,1.0,0.0,1.0,13.0,Doctorate,Czechoslovakia,0.0,1.0,2.0,0.0,0.0,Assassinated by government,"Kurdish, Farsi, Arabic, Turkish, Azerbaijani, French, English, Russian, Czech, Slovak",1.0,1.0,Complete,257,1979.0-1989.0,66.0,920,1.0,2.0,1979.0,7.0,1989.0,6.0,260.0,1005.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3.0,2429.0,630.0,0.0,0.0,0.0,1.0,0.0,59.0
10,64.0,none,none,none,none,Abdoulaye Hissene,Abdoulaye Hissene,Abdoulaye,Hissene,none,none,Central African Republic,Central African Republic vs CPJP,Popular Front for Central African Republic's Rebirth,none,NaN,Male,1967.0,NaN,0.0,NaN,NaN,43.0,Founded/Co-founded,0.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Other,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,168,2010.0-2011.0,5.0,284,2.0,1.0,2010.0,6.0,2011.0,222.0,782.0,1937.0,1.0,1.0,0.0,0.0,3.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0,0.0,-1.0,609.0,482.0,1.0,0.0,0.0,0.0,0.0,44.0
11,6.0,none,none,none,none,Abdul Ali Mazari,Abdul Ali Mazari,Abdul Ali,Mazari,none,none,Afghanistan,Afghanistan vs Hezb-i-Wahdat,Hezb-i-Wahdat,none,NaN,Male,1946.0,1995.0,1.0,"Village of Nanwai, Charkent District, Balkh Province, Afghanistan",43.0,43.0,Founded/Co-founded,0.0,Finished secondary,Islam,Religion,none,0.0,0.0,0.0,NaN,0.0,Islam,0.0,1.0,0.0,0.0,Activist,0.0,1.0,1.0,0.0,0.0,1.0,6.0,Secondary,"Iran, Iraq",0.0,0.0,1.0,1.0,0.0,Executed,"Pashto, Dari",0.0,0.0,Complete,683,1989.0-1995.0,28.0,31,1.0,2.0,1989.0,3.0,1995.0,137.0,413.0,1142.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.0,-3.0,709.0,700.0,0.0,1.0,0.0,0.0,0.0,49.0
