Entity,Code,Year,Sustainable Development Goals (SDG) Regions
Afghanistan,AFG,2024,Central and Southern Asia
Aland Islands,ALA,2024,Europe and Northern America
Albania,ALB,2024,Europe and Northern America
Algeria,DZA,2024,Northern Africa and Western Asia
American Samoa,ASM,2024,Oceania
Andorra,AND,2024,Europe and Northern America
Angola,AGO,2024,Sub-Saharan Africa
Anguilla,AIA,2024,Latin America and the Caribbean
Antigua and Barbuda,ATG,2024,Latin America and the Caribbean
Argentina,ARG,2024,Latin America and the Caribbean
Armenia,ARM,2024,Northern Africa and Western Asia
Aruba,ABW,2024,Latin America and the Caribbean
Australia,AUS,2024,Australia and New Zealand
Austria,AUT,2024,Europe and Northern America
Azerbaijan,AZE,2024,Northern Africa and Western Asia
Bahamas,BHS,2024,Latin America and the Caribbean
Bahrain,BHR,2024,Northern Africa and Western Asia
Bangladesh,BGD,2024,Central and Southern Asia
Barbados,BRB,2024,Latin America and the Caribbean
Belarus,BLR,2024,Europe and Northern America
Belgium,BEL,2024,Europe and Northern America
Belize,BLZ,2024,Latin America and the Caribbean
Benin,BEN,2024,Sub-Saharan Africa
Bermuda,BMU,2024,Europe and Northern America
Bhutan,BTN,2024,Central and Southern Asia
Bolivia,BOL,2024,Latin America and the Caribbean
Bonaire Sint Eustatius and Saba,BES,2024,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,2024,Europe and Northern America
Botswana,BWA,2024,Sub-Saharan Africa
Bouvet Island,BVT,2024,Latin America and the Caribbean
Brazil,BRA,2024,Latin America and the Caribbean
British Indian Ocean Territory,IOT,2024,Sub-Saharan Africa
British Virgin Islands,VGB,2024,Latin America and the Caribbean
Brunei,BRN,2024,Eastern and South-Eastern Asia
Bulgaria,BGR,2024,Europe and Northern America
Burkina Faso,BFA,2024,Sub-Saharan Africa
Burundi,BDI,2024,Sub-Saharan Africa
Cambodia,KHM,2024,Eastern and South-Eastern Asia
Cameroon,CMR,2024,Sub-Saharan Africa
Canada,CAN,2024,Europe and Northern America
Cape Verde,CPV,2024,Sub-Saharan Africa
Cayman Islands,CYM,2024,Latin America and the Caribbean
Central African Republic,CAF,2024,Sub-Saharan Africa
Chad,TCD,2024,Sub-Saharan Africa
